fresh_1 	fresh_2 	fresh_3 	frozen_1	frozen_2	frozen_3	fixed_day3_1	fixed_day3_2	fixed_day3_3	fixed_day7_1	fixed_day7_2	fixed_day7_3
number_mapped_reads_after_filt	4911264	4163014	4677742	34344250	28156168	23817166	16085490	13828062	14695196	18222594	19994892	16214322
average_fragm_width	463.095	464.45	447.284	514.789	509.891	474.33	356.572	367.489	354.403	306.533	297.056	342.468
total_called_peaks	22380	19815	20308	74978	60771	69304	19337	13418	12718	20580	33100	19305
average_peaks_per_chrom	973.043	861.522	882.957	3259.91	2642.22	3013.22	840.739	583.391	552.957	894.783	1439.13	839.348
peaks_norm_mapped_reads	198.125	206.947	188.757	94.9187	93.8415	126.515	52.2669	42.1889	37.6284	49.1029	71.9749	51.7658
peaks_norm_mapped_reads_per_chrom	9730.67	10044.3	9136.37	4566.84	4603.04	6201.7	2405.31	2127.38	1928.69	2165.91	2694.95	2699.86
reads_in_peaks_norm_mapped_reads	2741.8	2881.09	2481.63	3591.75	3638.8	3850.83	840.274	687.285	580.817	668.95	954.296	740.961
signal_to_noise	3.23299	3.31349	3.13212	3.4193	3.67782	3.9328	1.57781	1.57483	1.43948	1.28104	1.16232	1.39297
average_peak_width	219.019	218.612	210.358	248.624	247.828	229.162	167.542	173.03	166.075	142.894	137.835	159.816
