parameters	all_bases	all_TSS	called_TSS	called_nonTSS	FDR	TPR	SP	SN	F0.5	tp/fdr	fraction_on_target
l_800.t_0.01	20552296	52708829	6146619	14405677	0.7009278671	0.1166145998	0.2990721329	0.1166145998	0.2277908955	0.1663717556	0.2990721329
l_800.t_0.05	23993717	52708829	6174969	17818748	0.7426422509	0.1171524604	0.2573577491	0.1171524604	0.207654542	0.1577508689	0.2573577491
l_800.t_0.1	26829538	52708829	6097575	20731963	0.7727290347	0.1156841295	0.2272709653	0.1156841295	0.1905170916	0.1497085321	0.2272709653
l_800.t_0.5	38222960	52708829	5425278	32797682	0.8580623269	0.1029292076	0.1419376731	0.1029292076	0.1319372652	0.1199553976	0.1419376731
l_800.t_0.99	49677252	52708829	4514282	45162970	0.9091277835	0.0856456515	0.0908722165	0.0856456515	0.0897764863	0.0942063955	0.0908722165
l_1000.t_0.001	20617933	52708829	4439387	16178546	0.7846832173	0.0842247321	0.2153167827	0.0842247321	0.1642021222	0.1073359672	0.2153167827
l_1000.t_0.005	23309953	52708829	4461462	18848491	0.8086027029	0.0846435424	0.1913972971	0.0846435424	0.1528435609	0.1046787774	0.1913972971
l_1000.t_0.01	24379977	52708829	4450480	19929497	0.8174534783	0.0844351902	0.1825465217	0.0844351902	0.1481234579	0.1032905143	0.1825465217
l_1000.t_0.05	29329666	52708829	4335712	24993954	0.8521731546	0.082257794	0.1478268454	0.082257794	0.1275003214	0.0965270891	0.1478268454
l_1000.t_0.1	32820647	52708829	4148076	28672571	0.8736138261	0.078697935	0.1263861739	0.078697935	0.1127247148	0.0900832069	0.1263861739
l_1000.t_0.5	44980099	52708829	3290570	41689529	0.9268438693	0.0624291995	0.0731561307	0.0624291995	0.0707256365	0.0673567594	0.0731561307
l_1000.t_0.99	71375967	52708829	2101586	69274381	0.9705561117	0.0398716124	0.0294438883	0.0398716124	0.0310689992	0.0410812027	0.0294438883
l_2000.t_0.001	35200673	52708829	671743	34528930	0.9809167569	0.0127444114	0.0190832431	0.0127444114	0.0173566668	0.0129923475	0.0190832431
l_2000.t_0.005	40294017	52708829	637495	39656522	0.9841789167	0.0120946531	0.0158210833	0.0120946531	0.0149027587	0.0122890796	0.0158210833
l_2000.t_0.01	43015891	52708829	633172	42382719	0.9852805095	0.0120126364	0.0147194905	0.0120126364	0.0140847368	0.0121920979	0.0147194905
l_2000.t_0.05	51352344	52708829	548387	50803957	0.9893210912	0.0104040824	0.0106789088	0.0104040824	0.0106227881	0.0105163859	0.0106789088
l_2000.t_0.1	57810874	52708829	448396	57362478	0.9922437429	0.0085070378	0.0077562571	0.0085070378	0.0078956212	0.0085735363	0.0077562571
l_2000.t_0.5	76042409	52708829	255061	75787348	0.9966458059	0.0048390565	0.0033541941	0.0048390565	0.0035734995	0.0048553422	0.0033541941
l_2000.t_0.99	99784196	52708829	117082	99667114	0.9988266479	0.0022212977	0.0011733521	0.0022212977	0.0012955974	0.0022239071	0.0011733521
