Parameters	Overlap	Rep1	Rep2	Rep3	percent overlap		bases	on_target_bases	off_target_bases	on_target_mapped	off_target_mapped	not_mapped	Sensitivity	Specificity	F-Score_0.5	On/(on+off)	on/all
length_400.thresh_0.07	15178093	26766699	30085880	24667476	55.8565361616	fresh.macs2.l_0400.t_0.07.bed	15178093	86375464	2598721521	12844902	92524	2333191	0.1487100781	0.8462790418	0.4366405255	0.9928483456	0.8462790418
length_400.thresh_0.09	15178093	26766699	30085880	24667476	55.8565361616	fresh.macs2.l_0400.t_0.09.bed	15178093	86375464	2598721521	12844902	92524	4197100	0.1980891124	0.8030190726	0.498532581	0.984625774	0.8030190726
length_400.thresh_0.1	15178093	26766699	30085880	24667476	55.8565361616	fresh.macs2.l_0400.t_0.1.bed	15178093	86375464	2598721521	12844902	92524	1930068	0.131438553	0.8546978447	0.4068965937	0.9949952547	0.8546978447
length_400.thresh_0.5	21307139	42894569	50387210	87624483	35.3339991072	fresh.macs2.l_0400.t_0.5.bed	21307139	86375464	2598721521	17110039	267161	2270876	0.1424553737	0.8441993685	0.4252438547	0.9936036906	0.8441993685
																	
length_600.thresh_0.001	13283134	18460011	20126119	20446676	67.5038249071	fresh.macs2.l_0600.t_0.001.bed	13283134	86375464	2598721521	11353066	57105	2988704	0.1629100945	0.8248136196	0.4550445355	0.9916952757	0.8248136196
length_600.thresh_0.005	14575525	21912822	24056056	20446676	65.8378532836	fresh.macs2.l_0600.t_0.005.bed	14575525	86375464	2598721521	12304649	79211	3336258	0.1706302961	0.8154166009	0.4644210775	0.9896005889	0.8154166009
length_600.thresh_0.01	16195999	26789124	24056056	24918864	64.1306805112	fresh.macs2.l_0600.t_0.01.bed	16195999	86375464	2598721521	13471592	98042	3736467	0.1795652293	0.8058624902	0.4747151121	0.9877695138	0.8058624902
length_600.thresh_0.02	17060139	26789124	29917744	24918864	62.7013268316	fresh.macs2.l_0600.t_0.02.bed	17060139	86375464	2598721521	14071435	117838	4150814	0.1881381268	0.7965420101	0.4837016723	0.9865759523	0.7965420101
length_600.thresh_0.03	18074529	26789124	29917744	31855947	61.2261331124	fresh.macs2.l_0600.t_0.03.bed	18074529	86375464	2598721521	14738271	154880	4150814	0.1881381268	0.7965420101	0.4837016723	0.9865759523	0.7965420101
length_600.thresh_0.05	19246497	34685637	29917744	31855947	59.8588982498	fresh.macs2.l_0600.t_0.05.bed	19246497	86375464	2598721521	15510030	192044	4150814	0.1881381268	0.7965420101	0.4837016723	0.9865759523	0.7965420101
length_600.thresh_0.07	20401332	34685637	39394881	31855947	57.7742479891	fresh.macs2.l_0600.t_0.07.bed	20401332	86375464	2598721521	16250518	221116	10111438	0.265759267	0.6942091695	0.5249478306	0.9704795975	0.6942091695
length_600.thresh_0.09	20401332	34685637	39394881	31855947	57.7742479891	fresh.macs2.l_0600.t_0.09.bed	20401332	86375464	2598721521	16250518	221116	3390354	0.1573186339	0.8003186793	0.4403526822	0.992827602	0.8003186793
length_600.thresh_0.1	20401332	34685637	39394881	31855947	57.7742479891	fresh.macs2.l_0600.t_0.1.bed	20401332	86375464	2598721521	16250518	221116	3906182	0.1685615605	0.7884635703	0.4543096952	0.9914221145	0.7884635703
length_600.thresh_0.5	33066518	89805566	110532536	78144306	35.6214795442	fresh.macs2.l_0600.t_0.5.bed	33066518	86375464	2598721521	22955080	698256	4676100	0.1819109533	0.7706528549	0.4678319003	0.9883229565	0.7706528549
																	
length_800.thresh_0.001	16978824	23425924	25863782	25514776	68.0928075941	fresh.macs2.l_0800.t_0.001.bed	16978824	86375464	2598721521	13588470	98166	5524437	0.1955413403	0.753531913	0.4797385615	0.985503737	0.753531913
length_800.thresh_0.005	18465765	27396968	30459009	25514776	66.4469169422	fresh.macs2.l_0800.t_0.005.bed	18465765	86375464	2598721521	14559583	125971	6140491	0.2037282023	0.7413180493	0.4852345418	0.9832928506	0.7413180493
length_800.thresh_0.01	20388743	32801525	30459009	30401451	65.3052879458	fresh.macs2.l_0800.t_0.01.bed	20388743	86375464	2598721521	15712643	185645	6670798	0.2111842548	0.7322248259	0.4902919963	0.9826393965	0.7322248259
length_800.thresh_0.02	21255416	32801525	36948347	30401451	63.669900796	fresh.macs2.l_0800.t_0.02.bed	21255416	86375464	2598721521	16235236	202363	7380914	0.2206705599	0.7208580502	0.4960029709	0.9802521123	0.7208580502
length_800.thresh_0.03	22414411	32801525	36948347	37567387	62.658358615	fresh.macs2.l_0800.t_0.03.bed	22414411	86375464	2598721521	16889974	248443	7380914	0.2206705599	0.7208580502	0.4960029709	0.9802521123	0.7208580502
length_800.thresh_0.05	23737609	40933138	36948347	37567387	61.6834324722	fresh.macs2.l_0800.t_0.05.bed	23737609	86375464	2598721521	17597118	298993	13598680	0.2752484664	0.636140084	0.5039812347	0.9650097659	0.636140084
